three-toed_sloth.n.01	three-toed_sloth.n.01
spot_check.n.01	spot_check.n.01
detoxification.n.01	detoxification.n.02
disaster.n.03	disaster.n.03
purge.n.03	purge.n.02
oilbird.n.01	oilbird.n.01
split.n.09	split.n.01
horse_mackerel.n.03	spanish_mackerel.n.02
crane_fly.n.01	crane_fly.n.01
cinch.n.01	snap.n.12
tody.n.01	tody.n.01
alosa.n.01	alosa.n.01
zaglossus.n.01	zaglossus.n.01
contraction.n.04	contraction.n.01
operation.n.02	operation.n.03
harness_horse.n.01	harness_horse.n.01
eagle_ray.n.01	eagle_ray.n.01
scissors.n.03	scissors.n.03
missel_thrush.n.01	missel_thrush.n.01
chairmanship.n.01	chairmanship.n.01
slave_ant.n.01	slave_ant.n.01
game.n.10	game.n.04
veto.n.01	veto.n.01
penny_ante.n.01	penny_ante.n.01
lynx.n.02	cougar.n.01
white-chinned_petrel.n.01	white-chinned_petrel.n.01
administration.n.01	administration.n.03
crying.n.01	crying.n.01
primary.n.02	primary.n.02
hit.n.03	hit.n.07
myotis.n.01	myotis.n.01
marburg_virus.n.01	marburg_virus.n.01
oryx.n.01	bezoar_goat.n.01
regency.n.03	regency.n.03
craps.n.02	craps.n.02
feeder.n.06	feeder.n.01
common_newt.n.01	common_newt.n.01
alsophila_pometaria.n.01	alsophila_pometaria.n.01
esocidae.n.01	esocidae.n.01
sand_stargazer.n.01	sand_stargazer.n.01
goal.n.04	goal.n.04
therapsid.n.01	therapsid.n.01
sip.n.01	sip.n.01
staghorn_coral.n.01	staghorn_coral.n.01
pyramiding.n.01	pyramiding.n.01
black_buffalo.n.01	black_buffalo.n.01
maeandra.n.01	maeandra.n.01
anglicism.n.02	anglicism.n.02
tetrao.n.01	tetrao.n.01
greenling.n.01	greenling.n.01
squandermania.n.01	squandermania.n.01
recurvirostridae.n.01	recurvirostridae.n.01
insectivore.n.01	insectivore.n.02
king_whiting.n.01	king_whiting.n.01
hybridization.n.01	crossing.n.01
seduction.n.01	seduction.n.01
australian_coral_snake.n.01	australian_coral_snake.n.01
cut-in.n.01	cut-in.n.02
okapi.n.01	okapi.n.01
draft.n.11	lottery.n.02
disinfestation.n.01	disinfestation.n.01
history_lesson.n.01	history_lesson.n.01
occupation.n.01	business.n.06
microsporidian.n.01	microsporidian.n.01
sexual_conquest.n.01	score.n.10
flood.n.04	flood.n.05
syndication.n.02	syndication.n.02
great_white_heron.n.02	great_white_heron.n.02
diamondback.n.01	diamondback.n.01
water_ouzel.n.01	water_ouzel.n.01
alphabetization.n.01	alphabetization.n.01
rehabilitation.n.04	rehabilitation.n.01
pygmy_sperm_whale.n.01	pygmy_sperm_whale.n.01
service.n.01	service.n.03
burning.n.05	electrocution.n.01
kegel_exercises.n.01	kegel_exercises.n.01
lawsuit.n.01	campaign.n.02
shot.n.16	blastoff.n.01
major_surgery.n.01	major_surgery.n.01
fish_genus.n.01	fish_genus.n.01
guan.n.01	guan.n.01
fix.n.04	localization.n.01
tiger_cowrie.n.01	tiger_cowrie.n.01
outreach.n.01	outreach.n.01
golf_lesson.n.01	golf_lesson.n.01
carduelis.n.01	carduelis.n.01
survey.n.01	view.n.03
cub.n.03	cub.n.03
asp.n.01	asp.n.02
expulsion.n.03	ejection.n.02
immune_response.n.01	immune_response.n.01
ball.n.01	ball.n.01
lycosa.n.01	lycosa.n.01
gulo.n.01	gulo.n.01
